"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FXRateToBase","AssetClass","SubCategory","Symbol","Description","Conid","SecurityID","SecurityIDType","CUSIP","ISIN","FIGI","ListingExchange","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","IssuerCountryCode","Multiplier","Strike","Expiry","Put/Call","PrincipalAdjustFactor","ReportDate","Quantity","MarkPrice","PositionValue","OpenPrice","CostBasisPrice","CostBasisMoney","PercentOfNAV","FifoPnlUnrealized","Side","LevelOfDetail","OpenDateTime","HoldingPeriodDateTime","VestingDate","Code","OriginatingOrderID","OriginatingTransactionID","AccruedInterest","SerialNumber","DeliveryType","CommodityType","Fineness","Weight"
"U13323974","","","USD","1","STK","COMMON","BBWI","BATH & BODY WORKS INC","502252263","US0708301041","ISIN","070830104","US0708301041","BBG000BNGTQ7","NYSE","","BBWI","","","","US","1","","","","","2025-11-07","100","22.91","2291","28.5030344","28.5030344","2850.30344","2.20","-559.30344","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","DIS","WALT DISNEY CO/THE","6459","US2546871060","ISIN","254687106","US2546871060","BBG000BH4R78","NYSE","","DIS","","","","US","1","","","","","2025-11-07","6","110.74","664.44","176.666666667","176.666666667","1060","0.64","-395.56","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","F","FORD MOTOR CO","9599491","US3453708600","ISIN","345370860","US3453708600","BBG000BQPC32","NYSE","","F","","","","US","1","","","","","2025-11-07","100","13.21","1321","10.69056282","10.69056282","1069.056282","1.27","251.943718","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","HAL","HALLIBURTON CO","7890","US4062161017","ISIN","406216101","US4062161017","BBG000BKTFN2","NYSE","","HAL","","","","US","1","","","","","2025-11-07","100","27.57","2757","31.07065873","31.07065873","3107.065873","2.65","-350.065873","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","HUT","HUT 8 CORP","669228291","US44812J1043","ISIN","44812J104","US44812J1043","BBG00K8H39V2","NASDAQ","","HUT","","","","US","1","","","","","2025-11-07","100","44.59","4459","18.76048735","18.76048735","1876.048735","4.29","2582.951265","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","KSS","KOHLS CORP","8942","US5002551043","ISIN","500255104","US5002551043","BBG000CS7CT9","NYSE","","KSS","","","","US","1","","","","","2025-11-07","100","17.01","1701","18.75056463","18.75056463","1875.056463","1.64","-174.056463","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","PLTR","PALANTIR TECHNOLOGIES INC-A","444857009","US69608A1088","ISIN","69608A108","US69608A1088","BBG000N7QR55","NASDAQ","","PLTR","","","","US","1","","","","","2025-11-07","300","177.93","53379","18.303636363","18.303636363","5491.090909","51.34","47887.909091","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","PYPL","PAYPAL HOLDINGS INC","199169591","US70450Y1038","ISIN","70450Y103","US70450Y1038","BBG0077VNXV6","NASDAQ","","PYPL","","","","US","1","","","","","2025-11-07","5","66.22","331.1","233.4","233.4","1167","0.32","-835.9","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","RIVN","RIVIAN AUTOMOTIVE INC-A","525768800","US76954A1034","ISIN","76954A103","US76954A1034","BBG00741Y1N2","NASDAQ","","RIVN","","","","US","1","","","","","2025-11-07","400","15.23","6092","25.3663003","25.3663003","10146.52012","5.86","-4054.52012","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","RKLB","ROCKET LAB CORP","787273575","US7731211089","ISIN","773121108","US7731211089","BBG01V7JN3F3","NASDAQ","","RKLB","","","","US","1","","","","","2025-11-07","600","51.64","30984","9.333333333","9.333333333","5600","29.80","25384","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","B     251121P00026000","B 21NOV25 26 P","815268522","","","","","BBG01XC62GH3","CBOE","780709675","B","CA06849F1080","NYSE","","","100","26","2025-11-21","P","","2025-11-07","1","0.055","5.5","0.290484","0.290484","29.0484","1.04","-23.5484","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","BBWI  251121P00022500","BBWI 21NOV25 22.5 P","769847734","","","","","BBG01SY01MR0","CBOE","502252263","BBWI","US0708301041","NYSE","","","100","22.5","2025-11-21","P","","2025-11-07","1","1.1572","115.72","0.550459","0.550459","55.0459","21.98","60.6741","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","ETHA  251114P00020000","ETHA 14NOV25 20 P","819914195","","","","","BBG01XQKZWZ6","CBOE","717828992","ETHA","US46438R1059","NASDAQ","","","100","20","2025-11-14","P","","2025-11-07","1","0.0808","8.08","0.357659","0.357659","35.7659","1.53","-27.6859","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","ETHA  251121P00021000","ETHA 21NOV25 21 P","799857294","","","","","BBG01W4WJ191","CBOE","717828992","ETHA","US46438R1059","NASDAQ","","","100","21","2025-11-21","P","","2025-11-07","1","0.24","24","0.306959","0.306959","30.6959","4.56","-6.6959","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","ETHA  251128P00020000","ETHA 28NOV25 20 P","821978717","","","","","BBG01XVGVJ82","CBOE","717828992","ETHA","US46438R1059","NASDAQ","","","100","20","2025-11-28","P","","2025-11-07","1","0.3","30","0.437659","0.437659","43.7659","5.70","-13.7659","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","HAL   251128P00021000","HAL 28NOV25 21 P","821344851","","","","","BBG01XTD1S85","CBOE","7890","HAL","US4062161017","NYSE","","","100","21","2025-11-28","P","","2025-11-07","1","0.0463","4.63","0.227959","0.227959","22.7959","0.88","-18.1659","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","HAL   251219P00020000","HAL 19DEC25 20 P","635336600","","","","","BBG01GXPHN48","CBOE","7890","HAL","US4062161017","NYSE","","","100","20","2025-12-19","P","","2025-11-07","1","0.1185","11.85","0.260459","0.260459","26.0459","2.25","-14.1959","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","HUT   251114P00035000","HUT 14NOV25 35 P","819590028","","","","","BBG01XPGC5R9","CBOE","669228291","HUT","US44812J1043","NASDAQ","","","100","35","2025-11-14","P","","2025-11-07","1","0.3136","31.36","0.457959","0.457959","45.7959","5.96","-14.4359","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","IBIT  251114P00050000","IBIT 14NOV25 50 P","819932358","","","","","BBG01XQLH7W2","CBOE","677037673","IBIT","US46438F1012","NASDAQ","","","100","50","2025-11-14","P","","2025-11-07","1","0.0752","7.52","0.360459","0.360459","36.0459","1.43","-28.5259","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","IBIT  251121P00050000","IBIT 21NOV25 50 P","770034908","","","","","BBG01SYM1Y69","CBOE","677037673","IBIT","US46438F1012","NASDAQ","","","100","50","2025-11-21","P","","2025-11-07","1","0.2079","20.79","0.350459","0.350459","35.0459","3.95","-14.2559","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","NKE   251121P00060000","NKE 21NOV25 60 P","793138546","","","","","BBG01VPCH276","CBOE","10291","NKE","US6541061031","NYSE","","","100","60","2025-11-21","P","","2025-11-07","1","1.125","112.5","0.736959","0.736959","73.6959","21.37","38.8041","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","PPTA  251219P00015000","PPTA 19DEC25 15 P","778216611","","","","","BBG01TKSNH80","CBOE","471602176","PPTA","CA7142661031","NASDAQ","","","100","15","2025-12-19","P","","2025-11-07","1","0.25","25","0.348759","0.348759","34.8759","4.75","-9.8759","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","SLV   251121P00038000","SLV 21NOV25 38 P","709666790","","","","","BBG01NBDYTH8","CBOE","39039301","SLV","US46428Q1094","ARCA","","","100","38","2025-11-21","P","","2025-11-07","2","0.0354","7.08","0.320709","0.320709","64.1418","1.34","-57.0618","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","SLV   251121P00040000","SLV 21NOV25 40 P","705767562","","","","","BBG01N1CN898","CBOE","39039301","SLV","US46428Q1094","ARCA","","","100","40","2025-11-21","P","","2025-11-07","1","0.08","8","0.330459","0.330459","33.0459","1.52","-25.0459","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","SLV   251128P00039000","SLV 28NOV25 39 P","822042517","","","","","BBG01XVS1TG8","CBOE","39039301","SLV","US46428Q1094","ARCA","","","100","39","2025-11-28","P","","2025-11-07","1","0.08","8","0.346959","0.346959","34.6959","1.52","-26.6959","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","TMF   251128P00038000","TMF 28NOV25 38 P","821460639","","","","","BBG01XTTH9Y6","CBOE","665380902","TMF","US25460G1388","ARCA","","","100","38","2025-11-28","P","","2025-11-07","1","0.2632","26.32","0.180459","0.180459","18.0459","5.00","8.2741","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","TMF   251219P00038000","TMF 19DEC25 38 P","823528564","","","","","BBG01XZ7MWS7","CBOE","665380902","TMF","US25460G1388","ARCA","","","100","38","2025-12-19","P","","2025-11-07","1","0.8017","80.17","0.445559","0.445559","44.5559","15.23","35.6141","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","CHWY  251219P00040000","CHWY 19DEC25 40 P","814246260","","","","","BBG01X8395T9","CBOE","370766146","CHWY","US16679L1098","NYSE","","","100","40","2025-12-19","P","","2025-11-07","-1","6.8743","-687.43","5.5830131","5.5830131","-558.30131","1.33","-129.12869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","ENPH  251205P00037000","ENPH 05DEC25 37 P","825543281","","","","","BBG01Y3S4905","CBOE","105368327","ENPH","US29355A1079","NASDAQ","","","100","37","2025-12-05","P","","2025-11-07","-1","7.1981","-719.81","6.4130131","6.4130131","-641.30131","1.39","-78.50869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","ETHA  251121P00033000","ETHA 21NOV25 33 P","799858111","","","","","BBG01W4WJ7W2","CBOE","717828992","ETHA","US46438R1059","NASDAQ","","","100","33","2025-11-21","P","","2025-11-07","-1","6.9104","-691.04","5.8430131","5.8430131","-584.30131","1.34","-106.73869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","ETHA  251128P00033000","ETHA 28NOV25 33 P","821343754","","","","","BBG01XT9XRL6","CBOE","717828992","ETHA","US46438R1059","NASDAQ","","","100","33","2025-11-28","P","","2025-11-07","-1","7.0209","-702.09","5.9394881","5.9394881","-593.94881","1.36","-108.14119","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","FCX   251121P00043000","FCX 21NOV25 43 P","769943578","","","","","BBG01SYDV2P5","CBOE","7089","FCX","US35671D8570","NYSE","","","100","43","2025-11-21","P","","2025-11-07","-1","3.6954","-369.54","3.1230131","3.1230131","-312.30131","0.71","-57.23869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","IBIT  251121P00069000","IBIT 21NOV25 69 P","779352595","","","","","BBG01TNS9QZ3","CBOE","677037673","IBIT","US46438F1012","NASDAQ","","","100","69","2025-11-21","P","","2025-11-07","-1","10.1596","-1015.96","10.0330131","10.0330131","-1003.30131","1.96","-12.65869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","C","KSS   251219C00020000","KSS 19DEC25 20 C","617729294","","","","","BBG01FQSJBR1","CBOE","8942","KSS","US5002551043","NYSE","","","100","20","2025-12-19","C","","2025-11-07","-1","0.9371","-93.71","1.0594576","1.0594576","-105.94576","0.18","12.23576","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","KSS   260116P00017500","KSS 16JAN26 17.5 P","653230020","","","","","BBG01J8GHXQ4","CBOE","8942","KSS","US5002551043","NYSE","","","100","17.5","2026-01-16","P","","2025-11-07","-1","2.62","-262","3.0629656","3.0629656","-306.29656","0.51","44.29656","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","MARA  251121P00020000","MARA 21NOV25 20 P","814876536","","","","","BBG01XBMDRT0","CBOE","474219659","MARA","US5657881067","NASDAQ","","","100","20","2025-11-21","P","","2025-11-07","-1","4.3833","-438.33","2.8630131","2.8630131","-286.30131","0.85","-152.02869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","NKE   251219P00075000","NKE 19DEC25 75 P","638399592","","","","","BBG01H42VDZ1","CBOE","10291","NKE","US6541061031","NYSE","","","100","75","2025-12-19","P","","2025-11-07","-1","14.588","-1458.8","9.9530131","9.9530131","-995.30131","2.82","-463.49869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","C","PLTR  260116C00040000","PLTR 16JAN26 40 C","682697740","","","","","BBG01LCTDL86","CBOE","444857009","PLTR","US69608A1088","NASDAQ","","","100","40","2026-01-16","C","","2025-11-07","-1","138.6796","-13867.96","109.8694106","109.8694106","-10986.94106","26.79","-2881.01894","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","C","PLTR  260417C00120000","PLTR 17APR26 120 C","809296743","","","","","BBG01WWRH3V4","CBOE","444857009","PLTR","US69608A1088","NASDAQ","","","100","120","2026-04-17","C","","2025-11-07","-1","66.0054","-6600.54","61.0130131","61.0130131","-6101.30131","12.75","-499.23869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","C","PLTR  260515C00070000","PLTR 15MAY26 70 C","793815758","","","","","BBG01VQGF9F4","CBOE","444857009","PLTR","US69608A1088","NASDAQ","","","100","70","2026-05-15","C","","2025-11-07","-1","111.5962","-11159.62","104.6030131","104.6030131","-10460.30131","21.56","-699.31869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","PPTA  251219P00025000","PPTA 19DEC25 25 P","778216912","","","","","BBG01TKSMDH0","CBOE","471602176","PPTA","CA7142661031","NASDAQ","","","100","25","2025-12-19","P","","2025-11-07","-1","4.3778","-437.78","3.4170131","3.4170131","-341.70131","0.85","-96.07869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","C","RKLB  260116C00020000","RKLB 16JAN26 20 C","732646547","","","","","BBG01Q2ZPQV2","CBOE","787273575","RKLB","US7731211089","NASDAQ","","","100","20","2026-01-16","C","","2025-11-07","-2","32.1939","-6438.78","24.0529326","24.0529326","-4810.58652","12.44","-1628.19348","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","C","RKLB  260116C00026000","RKLB 16JAN26 26 C","778924596","","","","","BBG01TM8GM70","CBOE","787273575","RKLB","US7731211089","NASDAQ","","","100","26","2026-01-16","C","","2025-11-07","-1","26.522","-2652.2","15.5894326","15.5894326","-1558.94326","5.12","-1093.25674","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","C","RKLB  260116C00030000","RKLB 16JAN26 30 C","741545243","","","","","BBG01QS90YZ8","CBOE","787273575","RKLB","US7731211089","NASDAQ","","","100","30","2026-01-16","C","","2025-11-07","-1","22.9451","-2294.51","16.1829576","16.1829576","-1618.29576","4.43","-676.21424","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","SLV   251110P00044000","SLV 10NOV25 44 P","826228736","","","","","BBG01Y5H9J64","CBOE","39039301","SLV","US46428Q1094","ARCA","","","100","44","2025-11-10","P","","2025-11-07","-1","0.3426","-34.26","0.7630131","0.7630131","-76.30131","0.07","42.04131","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","SLV   251112P00043500","SLV 12NOV25 43.5 P","826570293","","","","","BBG01Y60YN54","CBOE","39039301","SLV","US46428Q1094","ARCA","","","100","43.5","2025-11-12","P","","2025-11-07","-1","0.345","-34.5","0.6095131","0.6095131","-60.95131","0.07","26.45131","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","SLV   251114P00043500","SLV 14NOV25 43.5 P","819654885","","","","","BBG01XPYT075","CBOE","39039301","SLV","US46428Q1094","ARCA","","","100","43.5","2025-11-14","P","","2025-11-07","-1","0.495","-49.5","0.7537131","0.7537131","-75.37131","0.10","25.87131","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","SLV   251117P00044000","SLV 17NOV25 44 P","828116817","","","","","BBG01YB4W098","CBOE","39039301","SLV","US46428Q1094","ARCA","","","100","44","2025-11-17","P","","2025-11-07","-1","0.81","-81","0.8530131","0.8530131","-85.30131","0.16","4.30131","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","SOXL  251121P00040000","SOXL 21NOV25 40 P","798620790","","","","","BBG01W1X7CG3","CBOE","73340487","SOXL","US25459W4583","ARCA","","","100","40","2025-11-21","P","","2025-11-07","-1","2.931","-293.1","1.8294881","1.8294881","-182.94881","0.57","-110.15119","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","TMF   251114P00042500","TMF 14NOV25 42.5 P","819675353","","","","","BBG01XPZHPL4","CBOE","665380902","TMF","US25460G1388","ARCA","","","100","42.5","2025-11-14","P","","2025-11-07","-1","1.8557","-185.57","1.7294881","1.7294881","-172.94881","0.36","-12.62119","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","TMF   251121P00042500","TMF 21NOV25 42.5 P","824357417","","","","","BBG01Y18FGL0","CBOE","665380902","TMF","US25460G1388","ARCA","","","100","42.5","2025-11-21","P","","2025-11-07","-1","2.0546","-205.46","1.5930131","1.5930131","-159.30131","0.40","-46.15869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","TMF   260116P00041000","TMF 16JAN26 41 P","706859796","","","","","BBG01N42GW47","CBOE","665380902","TMF","US25460G1388","ARCA","","","100","41","2026-01-16","P","","2025-11-07","-1","2.7002","-270.02","2.0595131","2.0595131","-205.95131","0.52","-64.06869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","TMF   260220P00041000","TMF 20FEB26 41 P","792884509","","","","","BBG01VN761L7","CBOE","665380902","TMF","US25460G1388","ARCA","","","100","41","2026-02-20","P","","2025-11-07","-1","3.2174","-321.74","2.2730131","2.2730131","-227.30131","0.62","-94.43869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","TMF   260515P00040000","TMF 15MAY26 40 P","815684715","","","","","BBG01XDPFQJ2","CBOE","665380902","TMF","US25460G1388","ARCA","","","100","40","2026-05-15","P","","2025-11-07","-1","3.9481","-394.81","2.9730131","2.9730131","-297.30131","0.76","-97.50869","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
